epoch,lr,train_loss,val_loss,val_mae_rom,val_mae_stability,val_mae_tempo,val_mae_final,val_rmse_final,val_r2_final,val_mae_all,is_best
1,1.00e-04,43.6931,38.8923,57.135,21.283,50.713,36.242,39.538,-5.1519,41.343,★
2,2.00e-04,23.4774,16.3857,20.756,21.146,21.752,11.515,14.355,0.1890,18.792,★
3,3.00e-04,15.2044,13.2879,20.199,19.195,14.080,8.647,11.033,0.5209,15.530,★
4,4.00e-04,10.0369,7.0475,15.420,5.304,7.882,7.323,9.088,0.6750,8.982,★
5,5.00e-04,6.4813,5.6284,12.470,4.177,7.483,5.834,7.110,0.8011,7.491,★
6,5.00e-04,5.3962,4.8130,10.591,3.839,6.986,5.053,6.311,0.8433,6.617,★
7,5.00e-04,4.7089,3.4675,8.487,2.995,5.089,4.019,5.129,0.8965,5.147,★
8,5.00e-04,3.8965,2.8669,6.501,3.194,4.858,3.530,4.602,0.9166,4.521,★
9,4.99e-04,2.9274,2.0060,4.396,3.100,3.610,2.922,3.830,0.9423,3.507,★
10,4.99e-04,2.5686,2.2194,5.723,2.901,3.624,2.992,3.794,0.9433,3.810,
11,4.98e-04,2.2673,2.0697,5.210,2.927,3.188,3.097,3.927,0.9393,3.606,
12,4.97e-04,2.1472,1.4260,3.048,3.013,2.711,2.604,3.347,0.9559,2.844,★
13,4.95e-04,2.0093,1.2767,2.722,2.812,2.674,2.168,2.825,0.9686,2.594,★
14,4.94e-04,1.8842,1.1062,2.488,2.918,1.887,2.364,2.966,0.9654,2.414,★
15,4.92e-04,1.8929,1.3165,2.740,2.896,2.609,2.460,3.129,0.9615,2.676,
16,4.91e-04,1.8223,1.3970,3.025,2.607,3.127,2.703,3.345,0.9560,2.865,
17,4.89e-04,1.7580,1.5167,3.873,2.718,2.289,2.824,3.553,0.9503,2.926,
18,4.87e-04,1.7541,1.0757,2.427,2.608,2.461,2.183,2.797,0.9692,2.420,★
19,4.84e-04,1.6727,1.0002,2.216,2.522,2.292,1.934,2.498,0.9755,2.241,★
20,4.82e-04,1.6279,0.9785,2.531,2.582,1.801,1.941,2.499,0.9754,2.214,★
21,4.79e-04,1.6473,1.5839,4.066,2.792,3.083,2.647,3.175,0.9603,3.147,
22,4.77e-04,1.6001,0.8460,1.928,2.459,1.860,1.828,2.388,0.9776,2.019,★
23,4.74e-04,1.5521,0.8127,1.964,2.470,1.785,1.685,2.227,0.9805,1.976,★
24,4.70e-04,1.5826,1.2582,3.512,2.557,2.144,2.390,2.967,0.9654,2.651,
25,4.67e-04,1.5435,0.9653,2.600,2.548,1.749,1.994,2.562,0.9742,2.223,
26,4.64e-04,1.5135,1.1281,3.340,2.553,1.583,2.420,2.935,0.9661,2.474,
27,4.60e-04,1.4837,1.0310,2.488,2.709,1.970,2.231,2.772,0.9698,2.350,
28,4.56e-04,1.4906,1.0465,3.082,2.677,1.560,2.124,2.569,0.9740,2.361,
29,4.52e-04,1.4858,1.3799,3.896,2.667,1.904,2.741,3.360,0.9556,2.802,
30,4.48e-04,1.4475,0.8643,2.548,2.402,1.407,1.709,2.208,0.9808,2.017,
31,4.44e-04,1.4127,0.9081,2.767,2.586,1.575,1.578,2.079,0.9830,2.126,
32,4.40e-04,1.4026,0.9486,2.610,2.591,1.692,1.894,2.455,0.9763,2.197,
33,4.35e-04,1.3627,1.1369,3.034,2.432,2.364,2.522,3.035,0.9637,2.588,
34,4.31e-04,1.3734,0.9651,2.572,2.537,1.862,2.071,2.561,0.9742,2.261,
35,4.26e-04,1.3688,0.7967,2.123,2.386,1.462,1.772,2.315,0.9789,1.936,★
36,4.21e-04,1.3868,0.8180,1.756,2.561,1.540,1.869,2.423,0.9769,1.931,
37,4.16e-04,1.3322,1.0244,3.200,2.445,1.449,2.262,2.767,0.9699,2.339,
38,4.11e-04,1.3451,0.7987,1.856,2.686,1.611,1.707,2.223,0.9806,1.965,
39,4.05e-04,1.3418,0.8706,2.694,2.405,1.399,1.733,2.265,0.9798,2.058,
40,4.00e-04,1.2924,0.7643,1.904,2.461,1.744,1.751,2.259,0.9799,1.965,★
41,3.94e-04,1.2704,0.8254,2.381,2.495,1.431,1.804,2.254,0.9800,2.028,
42,3.89e-04,1.3108,0.8677,2.849,2.339,1.437,1.757,2.220,0.9806,2.096,
43,3.83e-04,1.3144,0.7732,1.703,2.445,1.526,1.928,2.465,0.9761,1.901,
44,3.77e-04,1.2993,0.8379,2.159,2.415,1.875,1.595,2.154,0.9817,2.011,
45,3.71e-04,1.2889,0.8733,2.140,2.510,1.778,1.964,2.519,0.9750,2.098,
46,3.65e-04,1.2815,0.9977,3.145,2.412,1.369,2.086,2.605,0.9733,2.253,
47,3.59e-04,1.2595,0.9304,2.113,2.887,1.533,1.885,2.496,0.9755,2.104,
48,3.53e-04,1.2606,0.6948,1.819,2.470,1.193,1.811,2.248,0.9801,1.823,★
49,3.47e-04,1.2616,0.6712,1.482,2.421,1.345,1.659,2.185,0.9812,1.726,★
50,3.40e-04,1.2643,0.7138,1.764,2.426,1.448,1.576,2.098,0.9827,1.803,
51,3.34e-04,1.2362,0.7626,2.151,2.376,1.515,1.756,2.216,0.9807,1.949,
52,3.28e-04,1.2372,0.5992,1.527,2.372,1.003,1.407,1.920,0.9855,1.577,★
53,3.21e-04,1.2179,0.6228,1.607,2.387,1.194,1.485,1.965,0.9848,1.668,
54,3.15e-04,1.2133,0.7707,2.285,2.411,1.168,1.931,2.348,0.9783,1.948,
55,3.08e-04,1.2008,0.8869,2.460,2.365,2.198,1.916,2.326,0.9787,2.235,
56,3.01e-04,1.1948,0.9124,2.779,2.409,1.516,2.114,2.595,0.9735,2.204,
57,2.95e-04,1.2037,0.7410,2.148,2.339,1.684,1.769,2.174,0.9814,1.985,
58,2.88e-04,1.1798,0.8859,2.883,2.433,1.244,1.937,2.379,0.9777,2.124,
59,2.81e-04,1.1465,0.8712,2.567,2.426,1.657,2.041,2.515,0.9751,2.173,
60,2.74e-04,1.1942,0.7567,2.221,2.403,1.335,1.833,2.253,0.9800,1.948,
61,2.68e-04,1.1755,0.7116,2.052,2.361,1.160,1.656,2.091,0.9828,1.807,
62,2.61e-04,1.1445,0.8399,2.741,2.406,1.129,1.671,2.135,0.9821,1.986,
63,2.54e-04,1.1706,0.8380,2.194,2.374,1.752,1.934,2.409,0.9772,2.063,
64,2.47e-04,1.1255,0.7212,2.071,2.481,0.981,1.706,2.188,0.9812,1.810,
