epoch,lr,train_loss,val_loss,val_mae_rom,val_mae_stability,val_mae_tempo,val_mae_final,val_rmse_final,val_r2_final,val_mae_all,is_best
1,1.00e-04,41.4208,26.3175,38.672,21.432,42.184,12.443,15.584,0.0442,28.683,★
2,2.00e-04,17.1696,15.0993,21.544,20.581,18.198,9.446,12.016,0.4318,17.442,★
3,3.00e-04,13.0625,9.4024,17.788,4.709,17.204,6.128,7.348,0.7875,11.457,★
4,4.00e-04,9.1182,7.3996,14.240,3.746,13.366,6.090,7.771,0.7624,9.360,★
5,5.00e-04,6.6198,7.1589,13.264,3.959,11.810,7.579,9.120,0.6727,9.153,★
6,5.00e-04,5.5517,4.4261,10.351,3.270,6.675,4.589,5.705,0.8719,6.221,★
7,5.00e-04,5.1582,4.8036,10.789,3.989,5.958,5.952,7.158,0.7984,6.672,
8,5.00e-04,4.3646,4.4951,10.672,4.064,5.732,4.794,5.947,0.8608,6.316,
9,4.99e-04,3.9940,3.5241,7.358,4.175,4.758,4.850,6.003,0.8582,5.285,★
10,4.99e-04,3.9622,2.7716,5.227,2.818,6.395,3.136,3.993,0.9373,4.394,★
11,4.98e-04,3.4028,4.5899,10.658,2.757,6.432,6.463,7.262,0.7924,6.577,
12,4.97e-04,3.2009,3.8706,9.541,2.594,5.260,5.579,6.432,0.8372,5.744,
13,4.95e-04,3.0341,1.9424,4.730,2.724,3.531,2.930,3.697,0.9462,3.479,★
14,4.94e-04,3.0255,2.4728,6.127,2.612,3.566,4.291,5.296,0.8896,4.149,
15,4.92e-04,2.7264,2.8111,7.586,2.746,3.769,3.938,4.721,0.9123,4.510,
16,4.91e-04,2.7785,5.2299,9.020,3.504,8.425,8.031,8.830,0.6932,7.245,
17,4.89e-04,2.8659,1.7241,4.549,2.755,2.642,2.793,3.534,0.9508,3.184,★
18,4.87e-04,2.5742,1.9203,3.798,3.311,3.429,3.102,3.989,0.9374,3.410,
19,4.84e-04,2.6519,3.4020,10.517,2.543,3.050,4.611,5.327,0.8883,5.180,
20,4.82e-04,2.6023,3.1505,9.348,2.802,2.917,4.455,5.256,0.8913,4.881,
21,4.79e-04,2.4868,2.8787,8.095,2.458,3.159,4.550,5.323,0.8885,4.566,
22,4.77e-04,2.3247,2.4707,7.031,2.487,3.042,4.024,4.804,0.9092,4.146,
23,4.74e-04,2.2464,1.8988,5.343,2.643,2.402,3.213,4.028,0.9362,3.400,
24,4.70e-04,2.2741,1.6495,4.764,2.486,2.400,2.940,3.575,0.9497,3.147,★
25,4.67e-04,2.2221,2.1278,5.963,2.636,2.467,3.734,4.518,0.9197,3.700,
26,4.64e-04,2.2589,1.7202,4.924,2.550,2.828,2.503,3.152,0.9609,3.201,
27,4.60e-04,2.2531,1.4021,3.953,2.417,1.966,2.864,3.566,0.9500,2.800,★
28,4.56e-04,2.0983,2.6395,6.610,2.435,3.892,4.621,5.349,0.8874,4.389,
29,4.52e-04,2.2004,2.1531,6.213,2.455,2.482,3.933,4.638,0.9153,3.771,
30,4.48e-04,2.0148,2.5520,6.155,2.911,3.905,4.253,4.953,0.9034,4.306,
31,4.44e-04,2.0443,2.4869,6.186,2.417,4.140,4.242,4.899,0.9056,4.246,
32,4.40e-04,2.1574,1.8656,4.695,2.340,3.767,3.213,3.808,0.9429,3.504,
33,4.35e-04,1.9942,1.8753,5.068,2.471,3.089,3.114,3.758,0.9444,3.436,
34,4.31e-04,1.9529,1.9305,6.116,2.554,2.328,2.980,3.585,0.9494,3.494,
35,4.26e-04,2.0035,2.3470,6.089,2.385,4.170,3.636,4.282,0.9279,4.070,
36,4.21e-04,1.9392,2.0197,5.983,2.419,2.768,3.485,4.027,0.9362,3.664,
37,4.16e-04,1.9026,2.0513,6.161,2.462,2.945,3.263,3.780,0.9438,3.708,
38,4.11e-04,1.8831,2.1716,5.548,2.581,3.426,3.817,4.473,0.9213,3.843,
39,4.05e-04,2.0033,2.2154,6.928,2.356,2.032,3.894,4.485,0.9208,3.803,
40,4.00e-04,1.8942,1.6613,4.692,2.321,3.027,2.948,3.529,0.9510,3.247,
41,3.94e-04,1.8518,2.1165,6.312,2.480,2.937,3.233,3.856,0.9415,3.740,
42,3.89e-04,1.8156,1.8294,5.709,2.495,2.221,2.999,3.678,0.9468,3.356,
43,3.83e-04,1.8915,1.4633,4.637,2.487,1.760,2.682,3.244,0.9586,2.892,
44,3.77e-04,1.9222,2.6334,7.230,2.719,2.986,4.745,5.252,0.8914,4.420,
45,3.71e-04,1.7380,2.8375,7.901,2.309,3.671,4.756,5.252,0.8915,4.659,
