epoch,lr,train_loss,val_loss,val_mae_rom,val_mae_stability,val_mae_tempo,val_mae_final,val_rmse_final,val_r2_final,val_mae_all,is_best
1,1.00e-04,45.7221,43.9629,65.382,21.126,54.971,43.951,46.754,-7.6023,46.358,★
2,2.00e-04,32.3251,19.7268,30.870,21.245,23.306,13.043,16.151,-0.0265,22.116,★
3,3.00e-04,16.7890,15.4198,19.005,20.890,21.358,9.988,12.830,0.3522,17.810,★
4,4.00e-04,14.7308,14.2955,21.677,19.551,16.332,8.679,11.190,0.5072,16.560,★
5,5.00e-04,10.5286,6.2158,12.353,4.667,9.872,5.493,7.195,0.7963,8.096,★
6,5.00e-04,6.0538,5.3688,10.917,3.862,8.815,5.155,6.357,0.8410,7.187,★
7,5.00e-04,5.3180,4.5752,10.384,3.746,6.930,4.375,5.497,0.8811,6.359,★
8,5.00e-04,4.8865,4.2425,9.520,4.021,5.883,4.431,5.551,0.8787,5.964,★
9,4.99e-04,4.4211,3.6099,8.711,2.984,6.070,3.545,4.579,0.9175,5.328,★
10,4.99e-04,3.6955,2.8192,6.134,3.807,4.713,3.139,4.099,0.9339,4.448,★
11,4.98e-04,3.3614,2.3053,5.046,2.816,4.384,3.235,4.093,0.9341,3.870,★
12,4.97e-04,3.0247,1.9365,3.869,2.766,4.287,2.770,3.523,0.9512,3.423,★
13,4.95e-04,2.8421,2.2571,4.641,3.199,4.597,2.786,3.675,0.9468,3.806,
14,4.94e-04,2.6508,2.2483,5.271,2.847,3.730,3.110,4.036,0.9359,3.740,
15,4.92e-04,2.5233,2.0074,4.531,2.669,3.717,3.069,4.083,0.9344,3.497,
16,4.91e-04,2.3397,1.9210,3.789,3.228,3.305,2.969,3.817,0.9427,3.323,★
17,4.89e-04,2.2653,1.5657,3.506,2.973,2.559,2.774,3.623,0.9483,2.953,★
18,4.87e-04,2.1850,1.6543,3.783,2.616,3.032,2.794,3.669,0.9470,3.056,
19,4.84e-04,2.0823,1.6216,3.198,3.154,3.076,2.705,3.623,0.9483,3.033,
20,4.82e-04,2.0854,1.6163,3.339,2.823,3.218,2.491,3.218,0.9592,2.968,
